Company,Location_HQ,Industry,Laid_Off_Count,Date,Source,List_of_Employees_Laid_Off,Funds_Raised,Stage,Date_Added,Country,Percentage
Sono Motors,Munich,Transportation,300,2023-02-27 00:00:00,https://twitter.com/sonomotors/status/1630246207137419264,https://docs.google.com/spreadsheets/d/1l_rGoc_GegLiJ3mgkqM54VIkRvJV3KQA7SYtAWfb-jw/edit#gid=1208363482,126.0,Post-IPO,2023-02-28 05:02:15,Germany,
Cerebral,SF Bay Area,Healthcare,285,2023-02-27 00:00:00,https://www.businessinsider.com/cerebral-cuts-15-percent-staff-285-employees-layoffs-february-2023-2,Unknown,462.0,Series C,2023-02-27 23:41:29,United States,0.15
Palantir,Denver,Data,75,2023-02-27 00:00:00,https://www.cnbc.com/2023/02/27/palantir-layoffs-75-employees-2percent-of-workforce.html,Unknown,3000.0,Post-IPO,2023-02-27 23:40:15,United States,0.02
BitSight,Tel Aviv,Security,40,2023-02-26 00:00:00,https://www.calcalistech.com/ctechnews/article/r1zxrmkri,Unknown,401.0,Unknown,2023-02-27 17:26:32,Israel,
Twitter,SF Bay Area,Consumer,200,2023-02-25 00:00:00,https://www.nytimes.com/2023/02/26/technology/twitter-layoffs.html,Unknown,12900.0,Post-IPO,2023-02-26 20:58:23,United States,0.1
Ericsson,Stockholm,Other,8500,2023-02-24 00:00:00,https://www.reuters.com/business/media-telecom/ericsson-lay-off-8500-employees-memo-2023-02-24/,Unknown,663.0,Post-IPO,2023-02-24 05:00:10,Sweden,0.08
SAP Labs,Bengaluru,Other,300,2023-02-24 00:00:00,https://economictimes.indiatimes.com/tech/technology/sap-labs-lays-off-300-staffers-in-india/articleshow/98189199.cms,Unknown,1300.0,Subsidiary,2023-02-24 23:40:16,India,
Velodyne Lidar,SF Bay Area,Transportation,220,2023-02-24 00:00:00,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,Unknown,575.0,Acquired,2023-02-24 18:32:37,United States,
Medallia,SF Bay Area,Support,59,2023-02-24 00:00:00,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,Unknown,325.0,Acquired,2023-02-24 18:30:07,United States,
Eat Just,SF Bay Area,Food,40,2023-02-24 00:00:00,https://www.bloomberg.com/news/articles/2023-02-24/eat-just-to-cut-about-18-of-staff-in-plant-based-egg-division#xj4y7vzkg,Unknown,465.0,Unknown,2023-02-27 17:24:33,United States,
Lucira Health,SF Bay Area,Healthcare,26,2023-02-24 00:00:00,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,Unknown,132.0,Post-IPO,2023-02-24 18:31:39,United States,
Stax,Orlando,Finance,24,2023-02-24 00:00:00,https://www.bizjournals.com/orlando/inno/stories/news/2023/02/24/florida-2023-tech-jobs-layoffs-stax-technology.html,Unknown,263.0,Series D,2023-02-26 02:05:09,United States,
Poshmark,SF Bay Area,Retail,,2023-02-24 00:00:00,https://techcrunch.com/2023/02/24/poshmark-lays-off-employees-just-two-months-after-being-acquired-by-naver/amp/,Unknown,153.0,Acquired,2023-02-24 16:03:11,United States,0.02
Merative,Ann Arbor,Healthcare,200,2023-02-23 00:00:00,https://www.theregister.com/2023/02/23/merative_job_cuts_ibm_watson/,Unknown,,Acquired,2023-02-26 21:23:49,United States,0.1
OneFootball,Berlin,Marketing,150,2023-02-23 00:00:00,https://www.businessinsider.de/gruenderszene/business/massenentlassung-onefootball/,Unknown,442.0,Series D,2023-02-24 16:02:03,Germany,0.32
The Iconic,Sydney,Retail,69,2023-02-23 00:00:00,https://insideretail.com.au/business/the-iconic-culls-69-roles-as-it-morphs-from-marketplace-to-platform-202302,Unknown,,Unknown,2023-02-24 05:09:07,Australia,0.06
EVgo,Los Angeles,Transportation,40,2023-02-23 00:00:00,https://www.businesswire.com/news/home/20230223005797/en/EVgo-Inc.-Aligns-Organization-Around-Growing-Its-Charging-Network,Unknown,400.0,Post-IPO,2023-02-24 05:10:07,United States,
StrongDM,SF Bay Area,Infrastructure,40,2023-02-23 00:00:00,https://www.strongdm.com/blog/strongdm-company-update-letter-from-ceo-to-staff,Unknown,76.0,Series B,2023-02-23 22:34:44,United States,
Dapper Labs,Vancouver,Crypto,,2023-02-23 00:00:00,https://www.theblock.co/post/214755/dapper-labs-said-to-lay-off-20-more-of-its-full-time-employees,Unknown,607.0,Series D,2023-02-23 22:37:31,United States,0.2
Messari,New York City,Crypto,,2023-02-23 00:00:00,https://www.coindesk.com/business/2023/02/23/crypto-analytics-firm-messari-cuts-15-workforce-as-part-of-restructuring/,Unknown,61.0,Series B,2023-02-23 22:36:15,United States,0.15
Vibrent Health,Washington D.C.,Healthcare,,2023-02-23 00:00:00,https://www.bizjournals.com/washington/news/2023/02/23/fairfax-vibrent-health-tech-data-startup-layoffs.html,Unknown,,Unknown,2023-02-26 02:08:20,United States,0.13
Synamedia,London,Media,200,2023-02-22 00:00:00,https://www.calcalistech.com/ctechnews/article/hk2uvdqcs,Unknown,,Unknown,2023-02-27 17:29:09,United Kingdom,0.12
TaskUs,San Antonio,Support,186,2023-02-22 00:00:00,https://www.expressnews.com/business/article/taskus-layoff-186-employees-san-antonio-17798813.php,Unknown,279.0,Post-IPO,2023-02-23 22:35:28,United States,
Arch Oncology,St. Louis,Healthcare,,2023-02-22 00:00:00,https://www.bizjournals.com/stlouis/inno/stories/news/2023/02/22/arch-oncology-layoffs-leaves-cortex-office.html,Unknown,155.0,Series C,2023-02-23 23:02:52,United States,
Immutable,Sydney,Crypto,,2023-02-22 00:00:00,https://www.smh.com.au/technology/australia-s-biggest-crypto-gaming-start-up-slashes-staff-20230222-p5cmii.html,Unknown,279.0,Series C,2023-02-22 15:18:48,Australia,0.11
Jounce Therapeutics,Boston,Healthcare,,2023-02-22 00:00:00,https://www.globenewswire.com/news-release/2023/02/22/2613789/0/en/Jounce-Therapeutics-Announces-Restructuring.html,Unknown,194.0,Acquired,2023-02-26 02:09:16,United States,0.57
Locomation,Pittsburgh,Transportation,,2023-02-22 00:00:00,https://www.bizjournals.com/pittsburgh/news/2023/02/22/locomation-shutting-down-operations-out-of-fund.html,Unknown,57.0,Seed,2023-02-23 00:24:36,United States,1.0
Polygon,Bengaluru,Crypto,100,2023-02-21 00:00:00,https://inc42.com/buzz/polygon-lays-off-20-of-its-workforce-as-part-of-consolidation-process/,Unknown,451.0,Unknown,2023-02-21 19:54:49,India,0.2
Crunchyroll,Tokyo,Media,85,2023-02-21 00:00:00,https://www.animenewsnetwork.com/news/2023-02-21/crunchyroll-lays-off-approximately-85-employees-globally/.195161,Unknown,26.0,Unknown,2023-02-22 15:16:43,Japan,
Ethos Life,SF Bay Area,Finance,50,2023-02-21 00:00:00,https://www.coverager.com/ethos-conducts-another-round-of-layoffs/,Unknown,406.0,Series D,2023-02-24 16:01:03,United States,
Bolt,Lagos,Transportation,17,2023-02-21 00:00:00,https://techpoint.africa/2023/02/21/bolt-lays-off-17-of-its-70-workers-in-nigeria/,Unknown,,Series F,2023-02-22 02:48:31,Nigeria,
Criteo,Paris,Marketing,,2023-02-21 00:00:00,https://digiday.com/media-buying/criteo-adds-to-the-ongoing-wave-of-ad-tech-layoffs/,Unknown,61.0,Post-IPO,2023-02-21 19:10:52,France,
Green Labs,Seoul,Food,,2023-02-21 00:00:00,https://techcrunch.com/2023/02/21/agtech-startup-green-labs-is-the-latest-korean-startup-to-lay-off-employees/,Unknown,214.0,Series C,2023-02-21 19:27:25,South Korea,
PeerStreet,Los Angeles,Real Estate,,2023-02-21 00:00:00,https://www.bizjournals.com/triangle/inno/stories/news/2023/02/21/more-tech-layoffs-hit-north-carolina.html,Unknown,121.0,Series C,2023-02-22 02:50:37,United States,
Zalando,Berlin,Retail,,2023-02-21 00:00:00,https://www.reuters.com/business/retail-consumer/online-fashion-retailer-zalando-cutting-hundreds-jobs-2023-02-21/,Unknown,467.0,Post-IPO,2023-02-21 19:12:15,Germany,
MyGate,Bengaluru,Other,200,2023-02-20 00:00:00,https://inc42.com/buzz/bengaluru-based-mygate-lays-off-30-workforce-amid-funding-winter/,Unknown,79.0,Series B,2023-02-20 18:16:51,India,0.3
Fireblocks,New York City,Crypto,30,2023-02-20 00:00:00,https://www.calcalistech.com/ctechnews/article/rksbjrxro,Unknown,1000.0,Series E,2023-02-22 02:47:08,United States,0.05
Kinde,Sydney,Other,8,2023-02-20 00:00:00,https://www.news.com.au/finance/work/at-work/sydney-technology-company-kinde-lays-off-285-of-staff-as-focus-moves-to-product-team/news-story/618e97ecfe4b7e088a6ff39a70a78bcb,Unknown,10.0,Seed,2023-02-20 04:15:48,Australia,0.28
Fipola,Chennai,Food,,2023-02-20 00:00:00,https://www.medianews4u.com/meat-d2c-fipola-shuts-ops-liquidation-process-on-to-clear-dues-by-april-2023/,Unknown,9.0,Series A,2023-02-21 06:04:35,United States,1.0
HP,Tel Aviv,Hardware,100,2023-02-19 00:00:00,https://www.themarker.com/technation/2023-02-19/ty-article/.premium/00000186-692c-d22b-ad9e-7f6e08aa0000,Unknown,4200.0,Post-IPO,2023-02-20 04:15:39,Israel,
Tencent,Shenzen,Consumer,300,2023-02-17 00:00:00,https://brandequity.economictimes.indiatimes.com/news/digital/tencent-says-is-making-personnel-adjustments-after-report-of-layoffs/97998975,Unknown,12600.0,Post-IPO,2023-02-17 17:26:53,China,
Evernote,SF Bay Area,Consumer,129,2023-02-17 00:00:00,https://techcrunch.com/2023/02/27/bending-spoons-lays-off-129-evernote-staffers/,Unknown,290.0,Acquired,2023-02-27 17:20:54,United States,
Chipper Cash,SF Bay Area,Finance,100,2023-02-17 00:00:00,https://techweez.com/2023/02/18/chipper-cash-fires-a-third-of-its-workforce/,Unknown,302.0,Series C,2023-02-20 18:18:16,United States,0.33
Digimarc,Portland,Other,,2023-02-17 00:00:00,https://www.oregonlive.com/silicon-forest/2023/02/oregon-tech-company-digimarc-will-lay-off-17-of-its-workforce.html,Unknown,105.0,Post-IPO,2023-02-24 05:05:16,United States,
DocuSign,SF Bay Area,Sales,680,2023-02-16 00:00:00,https://www.cnbc.com/2023/02/16/docusign-layoffs-company-to-cut-10percent-of-workforce.html,Unknown,536.0,Post-IPO,2023-02-16 15:33:55,United States,0.1
Pico Interactive,SF Bay Area,Other,400,2023-02-16 00:00:00,https://pandaily.com/pico-starts-small-scale-layoffs-new-products-to-be-unveiled-in-april/,Unknown,62.0,Acquired,2023-02-16 15:56:43,United States,0.2
The RealReal,SF Bay Area,Retail,230,2023-02-16 00:00:00,https://www.theinformation.com/briefings/the-realreal-to-cut-7-of-headcount-close-some-stores-and-offices,Unknown,356.0,Post-IPO,2023-02-16 17:45:36,United States,0.07
Smartsheet,Seattle,Other,85,2023-02-16 00:00:00,https://www.bizjournals.com/seattle/news/2023/02/16/smartsheet-lays-off-85-employees-globally.html,Unknown,152.0,Post-IPO,2023-02-17 21:30:41,United States,0.03
Convoy,Atlanta,Logistics,,2023-02-16 00:00:00,https://techcrunch.com/2023/02/16/trucking-app-convoy-layoffs-restructuring/,Unknown,1100.0,Series E,2023-02-16 17:52:48,United States,
Wix,Tel Aviv,Marketing,370,2023-02-15 00:00:00,https://www.calcalistech.com/ctechnews/article/s1lsqn5as,Unknown,58.0,Post-IPO,2023-02-15 21:00:06,Israel,0.06
ServiceTitan,Los Angeles,Sales,221,2023-02-15 00:00:00,https://www.theinformation.com/briefings/servicetitan-cuts-8-percent-of-workforce,Unknown,1100.0,Series G,2023-02-16 17:44:30,United States,0.08
Neon,Sao Paulo,Finance,210,2023-02-15 00:00:00,https://www.seudinheiro.com/2023/empresas/unicornio-neon-banco-digital-demissao-em-massa-lils/,https://docs.google.com/spreadsheets/d/1HPjbndRJEq8OppLnQ17gjLKWGTLDCihH88KJ3ERr_10/htmlview#gid=0,720.0,Series D,2023-02-15 21:58:53,Brazil,0.09
Jellysmack,Paris,Media,208,2023-02-15 00:00:00,https://www.theinformation.com/articles/jellysmack-aims-to-cut-200-french-workers,Unknown,22.0,Series C,2023-02-16 17:46:29,France,
DigitalOcean,New York City,Infrastructure,200,2023-02-15 00:00:00,https://www.theregister.com/2023/02/15/digitalocean_layoffs/,https://docs.google.com/spreadsheets/d/1NFER_9iyOPHorGdML96zEbgfzcgN_5DqGJoRaCFipx0/edit?resourcekey#gid=1469096412,491.0,Post-IPO,2023-02-15 22:55:04,United States,0.11
Sprinklr,New York City,Support,100,2023-02-15 00:00:00,https://techcrunch.com/2023/02/15/sprinklr-layoffs-2023/,Unknown,429.0,Post-IPO,2023-02-15 19:05:49,United States,0.04
Betterment,New York City,Finance,28,2023-02-15 00:00:00,https://www.businessinsider.com/betterment-layoffs-digital-wealth-management-firm-cuts-costs-2023-2,Unknown,435.0,Series F,2023-02-16 16:07:42,United States,
